Column1,X1,X2,X3,X4,X5
205,0,0,0.005524862,0.029005525,0.965469613
206,0,0,0.001356852,0.023066486,0.975576662
207,0,0,0.002773925,0.023578363,0.973647712
208,0,0,0.004021448,0.026809651,0.969168901
209,0,0,0.002824859,0.016949153,0.980225989
210,0,0,0.002597403,0.025974026,0.971428571
211,0,0,0.002638522,0.022427441,0.974934037
213,0,0,0,0.014511873,0.985488127
217,0,0,0.001371742,0.031550069,0.967078189
218,0,0,0.002739726,0.02739726,0.969863014
219,0,0,0.002645503,0.021164021,0.976190476
220,0,0,0.00137741,0.024793388,0.973829201
221,0,0,0,0,1
222,0,0,0,0,1
223,0,0,0,0,1
225,0,0,0,0,1
227,0,0,0,0,1
228,0,0,0,0,1
229,0,0,0,0,1
232,0,0,0,0,1
233,0,0,0,0,1
234,0,0,0,0,1
235,0,0,0,0,1
236,0,0,0,0,1
238,0,0,0,0,1
239,0,0,0,0,1
240,0,0,0,0,1
241,0,0,0,0.002702703,0.997297297
243,0,0,0,0.005578801,0.994421199
246,0,0,0,0.005578801,0.994421199
248,0,0,0,0.005420054,0.994579946
250,0,0,0,0.006578947,0.993421053
253,0,0,0,0.006329114,0.993670886
254,0,0,0,0.006858711,0.993141289
255,0,0,0,0.005354752,0.994645248
256,0,0,0,0.005398111,0.994601889
258,0,0,0,0.006811989,0.993188011
259,0,0,0,0.007062147,0.992937853
260,0,0,0,0.006756757,0.993243243
262,0,0,0,0,1
263,0,0,0,0,1
268,0,0,0,0,1
271,0,0,0,0,1
272,0,0,0,0,1
274,0,0,0,0,1
275,0,0,0,0,1
276,0,0,0,0,1
277,0,0,0,0,1
278,0,0,0,0,1
279,0,0,0,0,1
280,0,0,0,0,1
281,0,0,0,0.002743484,0.997256516
282,0,0,0,0.001340483,0.998659517
283,0,0,0,0.002832861,0.997167139
284,0,0,0,0.002777778,0.997222222
285,0,0,0,0,1
286,0,0,0,0.001392758,0.998607242
289,0,0,0,0,1
290,0,0,0,0.001345895,0.998654105
291,0,0,0,0.001349528,0.998650472
292,0,0,0,0.001333333,0.998666667
293,0,0,0,0,1
294,0,0,0,0.002808989,0.997191011
295,0,0,0,0.00128866,0.99871134
296,0,0,0,0,1
297,0,0,0,0.002607562,0.997392438
298,0,0,0,0.001356852,0.998643148
300,0,0,0,0.002797203,0.997202797
302,0,0,0,0,1
303,0,0,0,0,1
304,0,0,0,0,1
305,0,0,0,0,1
307,0,0,0,0,1
308,0,0,0,0,1
309,0,0,0,0,1
310,0,0,0,0,1
313,0,0,0,0,1
315,0,0,0,0,1
321,0,0,0.032876712,0.289041096,0.678082192
323,0,0,0.041666667,0.305107527,0.653225806
325,0,0,0.050599201,0.272969374,0.676431425
326,0,0,0.044871795,0.248717949,0.706410256
328,0,0,0.047489824,0.265943012,0.686567164
329,0,0,0.048611111,0.266666667,0.684722222
332,0,0,0.044155844,0.24025974,0.715584416
333,0,0,0.037604457,0.274373259,0.688022284
334,0,0,0.025920873,0.252387449,0.721691678
336,0,0,0.033240997,0.278393352,0.688365651
341,0,0,0.354883081,0.020632737,0.624484182
343,0,0,0.305177112,0.01226158,0.682561308
344,0,0,0.236772487,0.023809524,0.739417989
345,0,0,0.31920904,0.009887006,0.670903955
346,0,0,0.368983957,0.026737968,0.604278075
