               1           2           3           4           5
453  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2529 0.000000000 0.000000000 0.410691004 0.144719687 0.444589309
1890 0.000000000 0.000000000 0.037518038 0.281385281 0.681096681
355  0.000000000 0.000000000 0.349315068 0.031506849 0.619178082
208  0.000000000 0.000000000 0.004021448 0.026809651 0.969168901
477  0.000000000 0.000000000 0.049286641 0.306095979 0.644617380
2059 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
589  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
540  0.000000000 0.000000000 0.029139073 0.260927152 0.709933775
44   0.000000000 0.000000000 0.067948718 0.178205128 0.753846154
281  0.000000000 0.000000000 0.000000000 0.002743484 0.997256516
1458 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2004 0.000000000 0.000000000 0.002754821 0.020661157 0.976584022
1490 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1780 0.000000000 0.000000000 0.000000000 0.005326232 0.994673768
368  0.000000000 0.000000000 0.046767538 0.266850069 0.686382393
172  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1781 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
524  0.000000000 0.000000000 0.050198151 0.225891678 0.723910172
472  0.000000000 0.000000000 0.047043011 0.268817204 0.684139785
1441 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1833 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1587 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
228  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2324 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1459 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1829 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1609 0.000000000 0.000000000 0.000000000 0.015852048 0.984147952
200  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2528 0.000000000 0.000000000 0.402439024 0.211382114 0.386178862
1896 0.000000000 0.000000000 0.041499331 0.228915663 0.729585007
236  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2043 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1647 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2380 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
487  0.002747253 0.009615385 0.688186813 0.148351648 0.151098901
2100 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
131  0.005457026 0.008185539 0.045020464 0.175989086 0.765347885
1670 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
582  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2044 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2418 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
427  0.000000000 0.000000000 0.048322148 0.217449664 0.734228188
1402 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1944 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
262  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2424 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1782 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
325  0.000000000 0.000000000 0.050599201 0.272969374 0.676431425
1518 0.000000000 0.000000000 0.000000000 0.015256588 0.984743412
2111 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
