"","model2.y","model2.predicted","X1","X2","X3","X4","X5"
"1891","2","5",0,0,0.0297699594046008,0.282814614343708,0.687415426251691
"2465","5","5",0,0,0,0,1
"313","4","5",0,0,0,0,1
"2387","5","5",0,0,0,0,1
"1613","4","5",0,0,0.0028169014084507,0.0169014084507042,0.980281690140845
"1788","3","5",0,0,0,0,1
"1772","2","5",0,0,0,0.00542005420054201,0.994579945799458
"1853","4","5",0,0,0,0,1
"1671","2","5",0,0,0,0,1
"382","5","5",0,0,0,0,1
"2009","5","5",0,0,0,0.02,0.98
"1981","4","5",0,0,0,0,1
"276","5","5",0,0,0,0,1
"205","5","5",0,0,0.00552486187845304,0.0290055248618785,0.965469613259669
"137","4","5",0.0342465753424658,0.00684931506849315,0.0602739726027397,0.0904109589041096,0.808219178082192
"37","4","5",0,0,0,0,1
"41","4","5",0,0,0.0584144645340751,0.119610570236439,0.821974965229485
"587","2","5",0,0,0,0,1
"125","4","5",0.0258152173913043,0.00407608695652174,0.0557065217391304,0.0760869565217391,0.838315217391304
"1526","4","5",0,0,0,0,1
"1624","3","5",0,0,0,0,1
"272","5","5",0,0,0,0,1
"296","5","5",0,0,0,0,1
"65","4","5",0,0,0,0,1
"1594","5","5",0,0,0,0,1
"1589","5","5",0,0,0,0,1
"28","5","5",0,0,0,0,1
"459","4","5",0,0,0,0,1
"1806","5","5",0,0.00537634408602151,0.0551075268817204,0.010752688172043,0.928763440860215
"2329","5","5",0,0,0,0,1
"1854","3","5",0,0,0,0,1
"1904","4","3",0.114441416893733,0.0994550408719346,0.711171662125341,0.0381471389645777,0.0367847411444142
"2578","4","5",0,0,0,0,1
"1859","5","5",0,0,0,0,1
"2371","2","5",0,0,0,0,1
"1741","5","5",0,0,0,0.0107095046854083,0.989290495314592
"67","5","5",0,0,0,0,1
"2535","3","5",0,0.00141043723554302,0.287729196050776,0.218617771509168,0.492242595204513
"1449","5","5",0,0,0,0,1
"576","5","5",0,0,0.0438829787234043,0.309840425531915,0.646276595744681
"91","3","5",0,0,0,0,1
"2010","2","5",0,0,0.00136612021857923,0.0218579234972678,0.976775956284153
"1582","5","5",0,0,0,0,1
"1429","5","5",0,0,0,0,1
"2429","4","5",0,0,0,0,1
"1727","4","5",0,0,0,0.00134770889487871,0.998652291105121
"351","4","5",0,0,0.303155006858711,0.00823045267489712,0.688614540466392
"2218","5","5",0,0,0,0,1
"1501","3","5",0,0,0.00138504155124654,0.0166204986149584,0.981994459833795
"2395","5","5",0,0,0,0,1
"1666","5","5",0,0,0,0,1
"64","4","5",0,0,0,0,1
"2396","3","5",0,0,0,0,1
"38","4","5",0,0,0,0,1
"1948","4","5",0,0,0,0,1
"1492","4","5",0,0,0,0,1
"2314","5","5",0,0,0,0,1
